bytes_out,num_pkts_out,bytes_in,num_pkts_in,packets_b_variance,packets_ipt_average,packets_ipt_variance,byte_dist_mean,byte_dist_std,entropy,total_entropy,wht1,wht2,wht3,wht4,debug_tcp_retrans,tls_cipher_suites_counts,server_name_exist,ec_point_formats_exist,extended_master_secret_exist,renegotiation_info_exist,supported_groups_exist,session_ticket_exist,application_layer_protocol_negotiation_exist,status_request_exist,key_share_exist,padding_exist,mac_weight,win_weight,linux_weight,is_browser,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384_supported,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384_supported,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384_supported,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384_supported,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA_supported,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA_supported,TLS_DH_DSS_WITH_AES_256_GCM_SHA384_supported,TLS_DHE_DSS_WITH_AES_256_GCM_SHA384_supported,TLS_DH_RSA_WITH_AES_256_GCM_SHA384_supported,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384_supported,TLS_DHE_RSA_WITH_AES_256_CBC_SHA256_supported,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256_supported,TLS_DH_RSA_WITH_AES_256_CBC_SHA256_supported,TLS_DH_DSS_WITH_AES_256_CBC_SHA256_supported,TLS_DHE_RSA_WITH_AES_256_CBC_SHA_supported,TLS_DHE_DSS_WITH_AES_256_CBC_SHA_supported,TLS_DH_RSA_WITH_AES_256_CBC_SHA_supported,TLS_DH_DSS_WITH_AES_256_CBC_SHA_supported,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_RSA_WITH_AES_256_GCM_SHA384_supported,TLS_RSA_WITH_AES_256_CBC_SHA256_supported,TLS_RSA_WITH_AES_256_CBC_SHA_supported,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256_supported,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256_supported,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256_supported,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256_supported,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA_supported,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA_supported,TLS_DH_DSS_WITH_AES_128_GCM_SHA256_supported,TLS_DHE_DSS_WITH_AES_128_GCM_SHA256_supported,TLS_DH_RSA_WITH_AES_128_GCM_SHA256_supported,TLS_DHE_RSA_WITH_AES_128_GCM_SHA256_supported,TLS_DHE_RSA_WITH_AES_128_CBC_SHA256_supported,TLS_DHE_DSS_WITH_AES_128_CBC_SHA256_supported,TLS_DH_RSA_WITH_AES_128_CBC_SHA256_supported,TLS_DH_DSS_WITH_AES_128_CBC_SHA256_supported,TLS_DHE_RSA_WITH_AES_128_CBC_SHA_supported,TLS_DHE_DSS_WITH_AES_128_CBC_SHA_supported,TLS_DH_RSA_WITH_AES_128_CBC_SHA_supported,TLS_DH_DSS_WITH_AES_128_CBC_SHA_supported,TLS_DHE_RSA_WITH_SEED_CBC_SHA_supported,TLS_DHE_DSS_WITH_SEED_CBC_SHA_supported,TLS_DH_RSA_WITH_SEED_CBC_SHA_supported,TLS_DH_DSS_WITH_SEED_CBC_SHA_supported,TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_RSA_WITH_AES_128_GCM_SHA256_supported,TLS_RSA_WITH_AES_128_CBC_SHA256_supported,TLS_RSA_WITH_AES_128_CBC_SHA_supported,TLS_RSA_WITH_SEED_CBC_SHA_supported,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA_supported,TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA_supported,TLS_RSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_EMPTY_RENEGOTIATION_INFO_SCSV_supported,byte_0x00,byte_0x01,byte_0x02,byte_0x03,byte_0x04,byte_0x05,byte_0x06,byte_0x07,byte_0x08,byte_0x09,byte_0x0a,byte_0x0b,byte_0x0c,byte_0x0d,byte_0x0e,byte_0x0f,byte_0x10,byte_0x11,byte_0x12,byte_0x13,byte_0x14,byte_0x15,byte_0x16,byte_0x17,byte_0x18,byte_0x19,byte_0x1a,byte_0x1b,byte_0x1c,byte_0x1d,byte_0x1e,byte_0x1f,byte_0x20,byte_0x21,byte_0x22,byte_0x23,byte_0x24,byte_0x25,byte_0x26,byte_0x27,byte_0x28,byte_0x29,byte_0x2a,byte_0x2b,byte_0x2c,byte_0x2d,byte_0x2e,byte_0x2f,byte_0x30,byte_0x31,byte_0x32,byte_0x33,byte_0x34,byte_0x35,byte_0x36,byte_0x37,byte_0x38,byte_0x39,byte_0x3a,byte_0x3b,byte_0x3c,byte_0x3d,byte_0x3e,byte_0x3f,byte_0x40,byte_0x41,byte_0x42,byte_0x43,byte_0x44,byte_0x45,byte_0x46,byte_0x47,byte_0x48,byte_0x49,byte_0x4a,byte_0x4b,byte_0x4c,byte_0x4d,byte_0x4e,byte_0x4f,byte_0x50,byte_0x51,byte_0x52,byte_0x53,byte_0x54,byte_0x55,byte_0x56,byte_0x57,byte_0x58,byte_0x59,byte_0x5a,byte_0x5b,byte_0x5c,byte_0x5d,byte_0x5e,byte_0x5f,byte_0x60,byte_0x61,byte_0x62,byte_0x63,byte_0x64,byte_0x65,byte_0x66,byte_0x67,byte_0x68,byte_0x69,byte_0x6a,byte_0x6b,byte_0x6c,byte_0x6d,byte_0x6e,byte_0x6f,byte_0x70,byte_0x71,byte_0x72,byte_0x73,byte_0x74,byte_0x75,byte_0x76,byte_0x77,byte_0x78,byte_0x79,byte_0x7a,byte_0x7b,byte_0x7c,byte_0x7d,byte_0x7e,byte_0x7f,byte_0x80,byte_0x81,byte_0x82,byte_0x83,byte_0x84,byte_0x85,byte_0x86,byte_0x87,byte_0x88,byte_0x89,byte_0x8a,byte_0x8b,byte_0x8c,byte_0x8d,byte_0x8e,byte_0x8f,byte_0x90,byte_0x91,byte_0x92,byte_0x93,byte_0x94,byte_0x95,byte_0x96,byte_0x97,byte_0x98,byte_0x99,byte_0x9a,byte_0x9b,byte_0x9c,byte_0x9d,byte_0x9e,byte_0x9f,byte_0xa0,byte_0xa1,byte_0xa2,byte_0xa3,byte_0xa4,byte_0xa5,byte_0xa6,byte_0xa7,byte_0xa8,byte_0xa9,byte_0xaa,byte_0xab,byte_0xac,byte_0xad,byte_0xae,byte_0xaf,byte_0xb0,byte_0xb1,byte_0xb2,byte_0xb3,byte_0xb4,byte_0xb5,byte_0xb6,byte_0xb7,byte_0xb8,byte_0xb9,byte_0xba,byte_0xbb,byte_0xbc,byte_0xbd,byte_0xbe,byte_0xbf,byte_0xc0,byte_0xc1,byte_0xc2,byte_0xc3,byte_0xc4,byte_0xc5,byte_0xc6,byte_0xc7,byte_0xc8,byte_0xc9,byte_0xca,byte_0xcb,byte_0xcc,byte_0xcd,byte_0xce,byte_0xcf,byte_0xd0,byte_0xd1,byte_0xd2,byte_0xd3,byte_0xd4,byte_0xd5,byte_0xd6,byte_0xd7,byte_0xd8,byte_0xd9,byte_0xda,byte_0xdb,byte_0xdc,byte_0xdd,byte_0xde,byte_0xdf,byte_0xe0,byte_0xe1,byte_0xe2,byte_0xe3,byte_0xe4,byte_0xe5,byte_0xe6,byte_0xe7,byte_0xe8,byte_0xe9,byte_0xea,byte_0xeb,byte_0xec,byte_0xed,byte_0xee,byte_0xef,byte_0xf0,byte_0xf1,byte_0xf2,byte_0xf3,byte_0xf4,byte_0xf5,byte_0xf6,byte_0xf7,byte_0xf8,byte_0xf9,byte_0xfa,byte_0xfb,byte_0xfc,byte_0xfd,byte_0xfe,byte_0xff,label
1003,7,1791,8,109051.12888888892,3.1333333333333333,17.982222222222227,98.544381,58.474656,4.027375,11252.486368,98.544,-0.13207,0.66106,1.986,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,134,24,12,37,17,10,15,8,9,6,7,12,11,9,9,5,5,5,3,5,7,3,9,8,2,3,1,5,3,5,3,2,6,5,4,4,4,3,6,4,8,5,8,5,5,3,6,4,20,14,6,4,7,4,6,8,4,7,3,2,6,5,2,3,5,6,3,5,4,2,3,4,4,2,4,3,3,4,5,1,7,4,3,9,1,11,4,3,6,5,6,6,2,4,5,4,3,6,5,4,3,5,4,5,5,8,9,4,5,3,2,6,3,2,4,4,3,3,3,4,4,3,5,4,3,3,4,3,1,3,7,3,6,5,7,2,2,3,4,6,5,3,6,4,4,3,2,4,2,4,7,4,3,2,3,4,5,3,3,3,7,2,4,5,3,3,3,4,5,2,5,4,2,5,3,2,3,4,4,2,7,1,4,2,5,2,4,5,4,2,3,5,23,3,3,3,3,2,1,3,8,2,1,3,8,2,4,3,4,4,2,4,4,2,5,2,3,2,5,5,6,4,5,1,4,5,3,3,2,4,3,6,3,3,6,3,4,2,4,2,5,3,4,1,3,4,3,6,3,3,4,3,3,1,5,6,weevely3.7.0
1068,7,1791,8,111105.70666666671,2.8666666666666667,15.98222222222222,99.875481,58.545797,4.04294,11558.764496,99.875,-1.0486,2.4624,0.18118,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,135,26,11,37,16,9,14,6,9,6,8,12,12,9,7,6,7,3,5,8,7,4,11,8,2,2,3,6,3,7,6,4,5,3,2,3,4,4,7,3,6,2,6,3,6,6,7,4,19,15,8,5,7,5,5,8,6,7,0,4,6,4,2,4,4,6,5,5,5,4,1,4,5,2,4,3,5,3,4,2,5,3,4,10,2,10,3,7,4,5,4,5,5,2,6,4,4,5,5,3,3,6,4,7,5,7,7,3,3,4,4,3,3,3,6,2,5,3,4,2,3,2,1,2,4,3,2,3,3,4,5,1,3,4,8,4,3,4,6,3,5,3,7,5,6,2,3,4,5,6,5,1,4,3,1,3,5,6,5,5,6,2,5,5,4,5,2,3,5,4,3,6,2,6,4,4,3,3,6,1,5,3,5,3,6,3,2,1,4,4,3,5,24,4,3,3,8,2,3,4,5,4,4,2,6,3,5,1,5,5,2,4,3,3,7,3,5,3,5,2,3,4,4,3,6,4,4,3,4,3,2,2,3,3,4,3,4,2,2,3,4,6,6,2,5,3,4,4,2,2,5,6,3,3,7,4,weevely3.7.0
1072,7,1823,8,111740.26666666666,16.4,2944.773333333332,101.062176,58.348306,4.061958,11759.369316,101.06,-1.0829,1.2598,0.65941,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,138,24,11,37,17,8,14,7,7,8,12,10,11,9,8,6,5,6,3,4,5,5,8,8,2,2,3,4,3,4,2,3,5,4,2,5,3,4,7,6,7,3,4,3,5,6,7,5,19,16,7,4,6,6,6,7,5,4,3,2,3,4,4,2,5,7,5,5,2,3,1,6,4,3,4,3,4,4,5,3,5,3,8,8,2,10,4,4,6,8,5,3,3,3,4,7,8,5,6,3,4,4,3,6,5,7,9,6,4,4,7,4,4,4,6,3,3,3,5,5,2,1,5,4,4,2,5,5,5,2,10,2,4,3,6,3,5,5,4,3,7,4,5,6,3,2,4,4,2,4,7,4,5,2,2,4,3,3,2,7,7,4,6,5,1,2,3,4,5,5,4,6,4,5,4,5,3,5,3,2,1,4,4,4,6,4,3,4,2,5,4,5,23,3,5,4,7,5,5,3,5,3,1,3,4,3,3,3,3,5,2,4,1,3,6,2,3,3,4,5,4,4,4,4,5,4,7,4,3,5,4,4,3,4,4,3,1,3,4,4,3,3,4,5,4,5,0,5,1,5,2,7,5,4,6,4,weevely3.7.0
2052,7,1791,8,206435.62666666662,15.133333333333333,1113.448888888889,106.281291,56.569551,4.183561,16077.426172,106.28,0.15743,0.92558,0.37757,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,137,25,13,40,20,11,17,6,15,8,10,13,15,10,10,9,6,4,7,5,8,5,11,9,5,7,1,6,5,7,6,4,8,9,8,5,4,10,9,6,8,4,7,6,7,6,14,9,20,14,9,6,8,8,7,13,5,7,3,6,8,7,4,3,6,8,5,7,9,4,2,9,7,4,6,8,5,6,4,6,10,3,8,9,8,13,7,4,7,6,7,8,4,3,7,5,7,8,7,7,3,8,5,7,8,12,9,6,4,5,8,6,6,4,6,4,9,6,7,5,5,5,5,7,7,8,3,4,5,5,9,3,9,6,8,4,4,4,6,6,5,5,10,6,5,3,9,5,4,7,10,9,4,5,4,6,4,8,7,5,7,7,5,6,6,6,4,6,7,8,6,6,6,7,7,7,8,5,2,4,5,4,6,5,4,6,4,8,7,7,5,4,24,4,5,6,7,5,3,6,8,6,6,7,6,5,2,6,5,8,2,5,4,3,4,5,4,3,6,6,6,6,5,5,5,6,6,7,2,9,7,3,10,4,8,4,4,5,7,3,6,5,5,4,7,7,3,10,5,5,6,7,7,3,8,7,weevely3.7.0
2052,7,1783,8,206402.4888888889,4.066666666666666,17.662222222222223,106.957757,56.98103,4.193351,16081.500287,106.96,-0.90091,1.2138,2.1145,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,137,26,12,38,18,10,18,10,11,10,12,12,13,12,12,9,5,5,4,9,7,8,12,11,4,4,4,9,5,8,6,6,5,8,5,6,5,10,8,10,7,6,8,6,9,8,7,6,19,16,8,6,8,7,5,10,6,7,3,5,7,4,7,5,7,6,8,6,5,7,5,7,4,1,6,6,6,4,7,4,9,10,6,11,5,13,4,7,8,7,8,8,7,8,6,5,8,7,9,7,7,7,3,8,6,9,9,4,6,3,8,5,5,5,3,2,6,6,5,6,5,5,7,4,8,10,4,6,4,8,9,5,6,5,9,7,3,5,5,4,9,3,5,6,5,3,5,4,5,3,8,2,4,4,4,8,5,7,6,4,7,3,8,6,6,8,7,6,7,5,7,7,6,7,6,5,4,7,5,6,5,4,4,4,5,4,3,7,5,5,9,5,26,7,6,5,6,8,5,7,5,7,8,6,13,4,8,3,4,6,4,7,4,6,7,7,5,5,9,4,7,6,7,5,5,7,4,5,5,5,4,6,5,3,6,6,4,6,4,4,8,6,8,3,1,6,3,9,4,7,5,7,5,5,10,8,weevely3.7.0
2045,8,6305,8,1419166.234375,5.25,127.5625,117.973413,60.65771,3.305623,27601.950514,117.97,0.17629,-0.15473,1.5974,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,140,30,18,41,19,13,19,12,20,11,18,17,19,14,12,8,11,5,11,13,14,11,14,15,6,9,11,9,12,14,13,11,11,13,9,10,9,8,13,9,17,7,14,10,18,12,16,10,24,18,16,11,11,12,12,13,12,13,9,9,16,12,11,5,12,13,18,10,10,9,6,12,12,11,11,9,12,11,13,7,11,9,9,16,9,14,11,10,12,13,13,9,9,12,13,11,10,11,11,9,16,10,9,7,12,16,14,10,12,8,15,11,10,5,8,11,12,8,10,10,7,13,6,11,11,10,9,11,9,9,15,5,12,11,12,10,9,11,11,11,13,6,10,11,10,9,9,17,11,8,15,10,9,7,8,11,9,12,12,7,11,11,10,12,10,11,8,9,12,13,12,7,11,8,11,7,8,10,11,8,6,10,11,9,11,11,12,7,9,13,8,11,31,8,13,10,10,10,6,14,8,10,10,5,10,6,10,10,9,10,5,10,9,8,12,11,12,9,8,11,10,14,11,10,8,9,11,9,11,10,10,8,12,10,10,8,10,8,7,12,9,11,14,8,7,10,9,10,11,6,8,11,11,11,12,15,weevely3.7.0
2050,7,1887,8,207140.2488888889,2.7333333333333334,17.262222222222217,107.230886,56.45407,4.224289,16631.027436,107.23,-0.14122,1.8654,0.084328,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,136,26,18,35,16,9,15,9,12,9,10,12,14,12,10,9,8,4,9,8,8,8,9,8,5,7,6,7,5,5,9,7,8,6,6,4,7,3,11,9,12,9,5,7,9,6,8,6,21,19,10,7,8,7,7,12,6,10,6,4,8,6,6,5,5,9,6,8,4,5,7,6,5,5,4,9,6,3,5,7,10,5,7,10,7,15,3,7,9,6,4,8,8,6,7,6,3,6,8,8,5,7,4,7,7,10,9,4,1,6,9,8,6,5,6,6,8,7,6,8,7,5,6,3,7,5,8,6,8,5,11,3,10,6,10,6,3,5,4,7,9,3,7,6,4,6,3,7,5,2,8,2,8,6,4,5,10,5,8,7,6,4,9,6,5,7,7,8,7,4,6,7,3,5,5,7,7,8,4,5,3,4,6,7,5,5,5,6,6,9,6,5,24,5,4,7,5,7,5,6,6,6,4,6,8,4,7,6,5,9,8,5,5,6,7,5,6,3,6,5,10,9,7,5,8,8,7,4,3,5,5,7,7,5,8,5,6,5,6,3,5,5,5,5,7,6,4,9,6,5,4,7,6,6,8,4,weevely3.7.0
2056,7,1783,8,207036.19555555558,2.3333333333333335,13.022222222222222,107.053399,56.760575,4.199917,16123.482578,107.05,-0.42459,0.54806,1.6588,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,136,24,14,38,19,9,16,9,11,8,10,11,15,11,9,8,6,4,6,6,5,8,11,7,6,5,2,9,7,10,8,8,6,6,4,8,7,3,10,6,12,4,9,5,6,5,10,8,23,16,9,4,9,8,6,11,9,7,5,4,7,6,7,4,9,7,6,6,8,5,8,10,8,4,8,5,7,4,7,8,8,5,6,9,5,13,4,8,7,6,8,8,4,4,8,6,5,4,7,5,4,4,5,7,5,9,9,2,5,7,8,8,3,4,6,7,9,6,5,7,7,4,4,6,5,7,4,5,7,8,8,5,8,2,10,6,4,6,5,4,5,6,8,8,4,3,6,6,6,5,8,5,4,6,6,6,7,7,6,9,6,5,6,6,2,5,4,5,4,6,3,6,4,7,6,4,8,7,5,4,6,5,9,9,5,8,7,3,5,6,3,5,27,6,6,9,6,5,4,7,5,5,3,7,8,4,4,6,4,8,6,7,4,4,7,7,5,3,6,8,4,6,5,4,7,4,6,5,5,6,5,6,8,7,6,5,5,4,4,3,6,6,5,5,5,5,5,9,5,8,3,8,9,7,6,7,weevely3.7.0
2046,7,1783,8,205455.66222222225,5.866666666666666,229.04888888888888,106.790024,56.877008,4.18636,16029.573815,106.79,0.3894,-0.82815,0.063985,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,138,27,15,39,18,9,17,10,13,7,11,12,14,12,6,8,8,7,9,8,5,6,9,10,5,4,8,7,6,5,7,6,8,5,5,5,5,3,7,9,9,3,11,6,9,7,9,5,21,18,9,7,7,10,6,8,8,7,6,7,8,7,3,4,4,8,5,6,7,6,8,5,5,5,7,4,8,6,7,5,6,4,5,11,6,14,5,10,4,6,7,7,3,3,8,5,6,8,8,3,8,7,4,8,5,8,9,5,7,4,7,4,6,4,8,2,6,4,5,3,4,7,5,6,6,5,4,5,6,6,10,7,5,4,8,5,7,6,4,4,6,7,7,4,5,3,10,5,3,9,7,6,4,3,5,6,7,7,4,5,10,7,8,5,6,4,5,6,5,5,6,10,6,8,5,5,5,6,8,4,6,4,8,7,5,4,2,9,6,7,6,5,29,5,3,8,4,6,6,9,8,5,5,5,7,8,7,3,6,7,7,7,2,6,6,3,3,6,7,7,4,7,6,4,5,8,11,5,4,6,7,5,5,5,5,5,3,7,3,3,4,5,5,5,8,6,2,8,6,4,4,9,3,5,8,6,weevely3.7.0
2050,7,1783,8,206086.3822222222,4.933333333333334,124.06222222222219,107.169841,57.060415,4.196191,16084.001295,107.17,0.37934,-0.88442,1.0076,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,136,28,14,42,17,10,17,7,12,11,12,14,13,10,10,7,8,6,6,7,8,8,12,8,4,4,1,8,8,6,5,7,7,6,4,5,9,6,9,8,9,3,7,6,5,6,11,6,25,16,10,6,8,8,8,11,7,7,4,4,5,6,6,5,8,7,5,11,5,5,3,5,5,5,4,2,6,3,5,3,5,6,4,9,9,15,5,9,5,5,8,7,5,9,8,6,3,6,7,4,9,6,9,7,8,12,8,4,4,4,7,10,5,3,4,3,7,3,9,6,4,5,6,4,8,6,7,4,4,4,7,4,6,5,8,4,3,7,5,5,6,6,6,6,6,6,5,5,3,6,8,4,6,5,7,6,5,5,5,4,6,6,6,6,8,8,5,5,7,3,4,6,4,9,7,7,4,7,7,1,7,5,7,6,9,5,6,5,8,5,8,8,27,3,6,7,8,6,5,6,5,6,5,7,9,4,7,6,7,7,4,7,6,5,4,7,6,6,7,8,7,6,5,2,8,7,3,7,3,7,5,5,5,4,5,6,5,6,4,7,8,7,6,4,2,5,5,9,7,7,4,6,6,6,6,4,weevely3.7.0
